,Nombre,Distancia,Posicion
79,Vivo Tapas Restaurant Coctelería,4.916134740823581,"[41.3951663, 2.159628499999999]"
80,Boca Grande,4.9205801956731845,"[41.3945264, 2.159833099999999]"
81,La Flauta,4.932933853357774,"[41.3869009, 2.161138299999999]"
82,Restaurant Mordisco,4.939444944131359,"[41.394591299999995, 2.1599928]"
83,Champanillo Barcelona,4.978516953615246,"[41.3887341, 2.1613897]"
84,Foster's Hollywood,4.995243566060388,"[41.390473199999995, 2.1613189]"
85,Restaurant Amigó Sant Antoni,5.00935912801485,"[41.379436999999996, 2.161716799999999]"
86,Restaurante El Laurel,5.0750656120883075,"[41.3813196, 2.1624570999999992]"
87,Restaurant L'Olivé,5.125025062326012,"[41.3890958, 2.1626826]"
88,Lasarte,5.125291331971458,"[41.3936111, 2.1619444]"
89,Buenas Migas,5.125706422496064,"[41.3932825, 2.1620177]"
90,La Pepita,5.152678083686517,"[41.3979527, 2.1610473]"
91,Oria by Martín Berasategui,5.159848922541978,"[41.3937303, 2.1622384]"
92,Pepito Restaurante,5.159935417043358,"[41.3927323, 2.162443799999999]"
93,Buenas Migas,5.16214348564535,"[41.385259, 2.163294]"
94,Restaurante Casi Comida para llevar,5.163715384553487,"[41.4090385, 2.155960099999999]"
95,Alkimia,5.168689258027585,"[41.3826655, 2.1633589]"
96,Restaurant Parkguell,5.265415097988761,"[41.412412599999996, 2.1547392]"
97,Pomarada,5.283325639870356,"[41.394005799999995, 2.1633213]"
98,Vinitus,5.287386283110046,"[41.3900261, 2.1640484]"
99,SASHA BAR - ¡ No hay mañana !,5.309297555709651,"[41.373863199999995, 2.1635936]"
100,Montalban Restaurant,5.317172412493015,"[41.3731769, 2.1635153]"
101,Restaurant Centfocs,5.467487014192926,"[41.386950999999996, 2.1659797]"
102,Arume Restaurant,5.477724426359244,"[41.3789273, 2.165922799999999]"
103,El Xalet de Montjuïc,5.502604490493924,"[41.3691752, 2.164177999999999]"
104,Citrus Restaurant & Sushi bar,5.545219707456167,"[41.391663799999996, 2.1661685]"
105,Restaurante Silván,5.570322480924966,"[41.3957938, 2.1655725]"
106,"Mandarin Oriental, Barcelona",5.581669714760314,"[41.391167599999996, 2.166577299999999]"
107,Moments,5.587474028272546,"[41.391169999999995, 2.16663]"
108,Bella Itàlia,5.601054770685688,"[41.3951393, 2.166012599999999]"
109,Papadam Authentic Indian Restaurant,5.627586373901106,"[41.3756516, 2.166858]"
110,Tandoori Nights - Indian Restaurant,5.6382118484536345,"[41.3775, 2.1672222]"
111,König Barcelona Centre,5.659159036263596,"[41.3875877, 2.1676739]"
112,Teresa Carles,5.684967720233544,"[41.385140199999995, 2.1680273]"
113,La Tagliatella,5.748991215756168,"[41.3922838, 2.1679353]"
114,Restaurant Embat,5.767008611594662,"[41.3970108, 2.1671]"
115,Restaurant Embat,5.767008611594662,"[41.3970108, 2.1671]"
116,El Nacional,5.771540462788603,"[41.390583, 2.1683914]"
117,Restaurant Terra Mía,5.771544951445102,"[41.416291199999996, 2.1575282]"
118,Restaurant Tíbet,5.790961908545192,"[41.4158626, 2.1580865]"
119,Restaurant Tíbet,5.790961908545192,"[41.4158626, 2.1580865]"
120,Yuan Man | Sushi | Tapas | Take Away,5.796167322382269,"[41.3976573, 2.1672005]"
121,Musiu,5.79713170701362,"[41.3919358, 2.1684319]"
122,Can Kenji,5.797278819743341,"[41.4004367, 2.1663694]"
123,Can Kenji,5.797278819743341,"[41.4004367, 2.1663694]"
124,Elisabets Restaurant,5.810112438588989,"[41.383820899999996, 2.169175]"
125,Five Guys,5.842565332207701,"[41.3860063, 2.1694249]"
126,Maharaja Restaurant,5.855402704181739,"[41.3783446, 2.1692966]"
127,VIRENS,5.857431738056545,"[41.3905666, 2.1691767]"
128,Tosca del Carme,5.863381861883277,"[41.3820018, 2.1696242]"
129,sato i tanaka,5.904552292365568,"[41.394545799999996, 2.168949]"
130,Elche,5.909693532596483,"[41.3739856, 2.1691555]"
131,Palosanto,5.9168180563925095,"[41.3779118, 2.1698084]"
132,Divan Turkish Restaurant,5.9172594091026545,"[41.3843476, 2.1701418]"
133,Divan Turkish Restaurant,5.9172594091026545,"[41.3843476, 2.1701418]"
134,Divan Turkish Restaurant,5.9172594091026545,"[41.3843476, 2.1701418]"
135,Delícies,5.919574320455002,"[41.418306799999996, 2.1576106]"
136,BAR RESTAURANT SET POINT,5.93579063900996,"[41.429059099999996, 2.1455913]"
137,BAR RESTAURANT SET POINT,5.93579063900996,"[41.429059099999996, 2.1455913]"
